"","employee","salary.2014","salary.2015","raise","got.raise"
"48","Employee 48",45662.5605118461,43511.1534944735,-2151.40701737255,FALSE
"49","Employee 49",47725.9901189245,50483.9953850023,2758.00526607782,TRUE
"50","Employee 50",48195.0508174486,52634.4258431345,4439.37502568588,TRUE
"51","Employee 51",40499.8765140772,42465.7068960369,1965.83038195968,TRUE
"52","Employee 52",48358.4478264675,51019.6022223681,2661.15439590067,TRUE
"53","Employee 53",46188.325677067,41345.3572709113,-4842.96840615571,FALSE
"54","Employee 54",47820.4100346193,49435.2219090797,1614.81187446043,TRUE
"55","Employee 55",44010.5174714699,48627.3833457381,4616.86587426811,TRUE
"56","Employee 56",43825.8524681441,47370.0561164878,3544.20364834368,TRUE
"57","Employee 57",47062.9315217957,48450.252849143,1387.32132734731,TRUE
"58","Employee 58",42923.7683000974,46428.0021213926,3504.2338212952,TRUE
"59","Employee 59",45486.10616941,41878.1049177051,-3608.00125170499,FALSE
"60","Employee 60",44854.4617160223,41820.1652378775,-3034.29647814482,FALSE
"61","Employee 61",46179.579673335,48686.0798718408,2506.50019850582,TRUE
"62","Employee 62",44268.6205008067,42987.2338217683,-1281.38667903841,FALSE
"63","Employee 63",44353.4412002191,41148.1279949658,-3205.31320525333,FALSE
"64","Employee 64",49564.1287136823,45532.61047462,-4031.51823906228,FALSE
"65","Employee 65",40301.4427376911,40737.1045649052,435.661827214062,TRUE
"66","Employee 66",42662.6731548458,39582.0838212967,-3080.58933354914,FALSE
"67","Employee 67",45439.1127312556,43624.9951506034,-1814.11758065224,FALSE
"68","Employee 68",49091.7944721878,47327.7476173826,-1764.0468548052,FALSE
"69","Employee 69",44919.3169735372,49845.6005402841,4926.28356674686,TRUE
"70","Employee 70",40030.5129541084,42256.9110686891,2226.39811458066,TRUE
"71","Employee 71",42554.8696797341,47338.132574223,4783.26289448887,TRUE
"72","Employee 72",44048.8173929043,48115.1624745689,4066.34508166462,TRUE
"73","Employee 73",41169.8004836217,36216.717294883,-4953.08318873867,FALSE
"74","Employee 74",48436.378443148,53433.198381681,4996.81993853301,TRUE
"75","Employee 75",42883.5928929038,38732.5780978426,-4151.0147950612,FALSE
"76","Employee 76",41791.2430269644,40583.6075753905,-1207.63545157388,FALSE
"77","Employee 77",42510.7985199429,38688.7788260356,-3822.01969390735,FALSE
"78","Employee 78",49311.9663652033,51945.3788851388,2633.41251993552,TRUE
"79","Employee 79",43126.1855922639,42685.9167846851,-440.268807578832,FALSE
"80","Employee 80",49717.3764347099,53873.1072540395,4155.73081932962,TRUE
"81","Employee 81",40275.7515269332,37224.0202478133,-3051.73127911985,FALSE
"82","Employee 82",48528.4445877187,47140.4283051379,-1388.01628258079,FALSE
"83","Employee 83",46065.7354746945,46630.8811400086,565.145665314049,TRUE
"84","Employee 84",48919.741329737,53004.3967720121,4084.65544227511,TRUE
"85","Employee 85",42101.8143813126,44814.130787272,2712.31640595943,TRUE
"86","Employee 86",46448.3327209018,47119.2715922371,670.938871335238,TRUE
"87","Employee 87",40673.1675355695,35934.6709656529,-4738.49656991661,FALSE
"88","Employee 88",45927.6472171769,44994.2792276852,-933.367989491671,FALSE
"89","Employee 89",47921.2173190899,47793.5588057153,-127.658513374627,FALSE
"90","Employee 90",41828.6980618723,40897.6919506676,-931.006111204624,FALSE
"91","Employee 91",40931.2131791376,40831.6420996562,-99.5710794813931,FALSE
"92","Employee 92",44947.5095444359,45055.4026383907,107.893093954772,TRUE
"93","Employee 93",47309.021926485,44475.8329563774,-2833.18897010759,FALSE
"94","Employee 94",42289.6192036569,42022.5541200489,-267.065083608031,FALSE
"95","Employee 95",44433.3314732648,47106.6548069939,2673.32333372906,TRUE
"96","Employee 96",47007.8732655384,48855.5634208024,1847.69015526399,TRUE
"97","Employee 97",42280.5602638982,47030.9693459421,4750.40908204392,TRUE
"98","Employee 98",43785.0478244945,44662.6181108877,877.570286393166,TRUE
"99","Employee 99",48727.298353333,49174.3293218315,447.030968498439,TRUE
"100","Employee 100",44860.020452179,44559.6184814349,-300.401970744133,FALSE
